,Job title,Job link,city,Seniority level,Employment type,Job function,Industries
202,"Machine Learning Research Intern, Computer Vision",https://www.linkedin.com/jobs/view/machine-learning-research-intern-computer-vision-at-toyota-research-institute-3399329838?refId=xI3humF4hSDruNwiQZ0g4w%3D%3D&trackingId=WQveUuXugOFhZLWIw9KwwQ%3D%3D&position=4&pageNum=8&trk=public_jobs_jserp-result_search-card,"Los Altos, CA",Internship,Internship,Engineering and Information Technology,Research Services
203,Data Engineering Intern,https://www.linkedin.com/jobs/view/data-engineering-intern-at-cadent-3396582302?refId=xI3humF4hSDruNwiQZ0g4w%3D%3D&trackingId=owOtpdZw6%2B6ZAalmXzpo%2Bg%3D%3D&position=5&pageNum=8&trk=public_jobs_jserp-result_search-card,United States,Internship,Other,Information Technology,Advertising Services
204,Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-kipp-texas-public-schools-3389543500?refId=xI3humF4hSDruNwiQZ0g4w%3D%3D&trackingId=JndaF7sulNnIfg01y1E9HQ%3D%3D&position=6&pageNum=8&trk=public_jobs_jserp-result_search-card,"Austin, TX",Not Applicable,Full-time,Information Technology,Primary and Secondary Education
205,Scientist - Data Science and Computer Vision,https://www.linkedin.com/jobs/view/scientist-data-science-and-computer-vision-at-topcon-healthcare-3381325771?refId=xI3humF4hSDruNwiQZ0g4w%3D%3D&trackingId=R99BgSc2qGxoXymuXGVbnw%3D%3D&position=7&pageNum=8&trk=public_jobs_jserp-result_search-card,"San Diego, CA",Mid-Senior level,Full-time,Engineering and Information Technology,Medical Equipment Manufacturing
206,Grad Intern - Bioinformatics (Remote),https://www.linkedin.com/jobs/view/grad-intern-bioinformatics-remote-at-biospace-3392905808?refId=xI3humF4hSDruNwiQZ0g4w%3D%3D&trackingId=UFDvwvPNw%2Bq4D%2Fz2GM%2FKPw%3D%3D&position=8&pageNum=8&trk=public_jobs_jserp-result_search-card,San Francisco Bay Area,Internship,Full-time,"Research, Analyst, and Information Technology",Online Audio and Video Media
207,Jr. UHealth IT Data Scientist - UHealth IT,https://www.linkedin.com/jobs/view/jr-uhealth-it-data-scientist-uhealth-it-at-university-of-miami-health-system-3401512397?refId=xI3humF4hSDruNwiQZ0g4w%3D%3D&trackingId=1a%2F%2BH6wldBUW5oIGJi%2FNjw%3D%3D&position=9&pageNum=8&trk=public_jobs_jserp-result_search-card,"Miami, FL",Entry level,Full-time,Engineering and Information Technology,Hospitals and Health Care
208,Data Science Intern,https://www.linkedin.com/jobs/view/data-science-intern-at-medidata-solutions-3391875238?refId=xI3humF4hSDruNwiQZ0g4w%3D%3D&trackingId=xU%2Fn0WMmvZcscQm3NPSQpQ%3D%3D&position=10&pageNum=8&trk=public_jobs_jserp-result_search-card,"New York, United States",Internship,Internship,Engineering and Information Technology,Software Development
209,Entry Level Data Scientist,https://www.linkedin.com/jobs/view/entry-level-data-scientist-at-synergisticit-3395562777?refId=xI3humF4hSDruNwiQZ0g4w%3D%3D&trackingId=feDpPRrRuA3xBhTJt5LvMw%3D%3D&position=11&pageNum=8&trk=public_jobs_jserp-result_search-card,"Lansing, MI",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
210,Research Analyst,https://www.linkedin.com/jobs/view/research-analyst-at-resonance-3385157288?refId=xI3humF4hSDruNwiQZ0g4w%3D%3D&trackingId=UoePqFm8ZYr6oXMtgX0PjA%3D%3D&position=12&pageNum=8&trk=public_jobs_jserp-result_search-card,United States,Associate,Full-time,"Research, Analyst, and Consulting","Market Research, Business Consulting and Services, and Public Policy Offices"
211,Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-surge-staffing-3395492666?refId=xI3humF4hSDruNwiQZ0g4w%3D%3D&trackingId=CSTVJxP0ojbhhgUgbMsPPw%3D%3D&position=13&pageNum=8&trk=public_jobs_jserp-result_search-card,"Columbus, OH",Entry level,Full-time,Information Technology,Staffing and Recruiting
212,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-sapling-ai-3393866338?refId=xI3humF4hSDruNwiQZ0g4w%3D%3D&trackingId=Zj7tm1sreHwRJusfaLUZYg%3D%3D&position=14&pageNum=8&trk=public_jobs_jserp-result_search-card,"Los Angeles, CA",Entry level,Full-time,Engineering and Information Technology,Software Development
213,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-biggerpicture-3395701445?refId=xI3humF4hSDruNwiQZ0g4w%3D%3D&trackingId=FZrCGoq2aLXnS4OxHbCk%2BQ%3D%3D&position=15&pageNum=8&trk=public_jobs_jserp-result_search-card,United States,Entry level,Full-time,Engineering and Information Technology,"Transportation, Logistics, Supply Chain and Storage"
214,Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-cei-3393663492?refId=xI3humF4hSDruNwiQZ0g4w%3D%3D&trackingId=nstbDhfCkETFC7ob4%2Bb9aw%3D%3D&position=16&pageNum=8&trk=public_jobs_jserp-result_search-card,"Woodcliff Lake, NJ",Associate,Contract,Information Technology,IT Services and IT Consulting
215,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-lunchclub-3398108753?refId=xI3humF4hSDruNwiQZ0g4w%3D%3D&trackingId=ZYG9xppalLEn1mRSs5Yz6g%3D%3D&position=17&pageNum=8&trk=public_jobs_jserp-result_search-card,"San Francisco, CA",Entry level,Full-time,Engineering and Information Technology,Social Networking Platforms
216,Bioinformatics Co-op,https://www.linkedin.com/jobs/view/bioinformatics-co-op-at-randstad-usa-3383238566?refId=xI3humF4hSDruNwiQZ0g4w%3D%3D&trackingId=SPD8PiwvcEL%2F6%2FpcJugrlg%3D%3D&position=18&pageNum=8&trk=public_jobs_jserp-result_search-card,United States,Internship,Contract,"Research, Analyst, and Information Technology",Research Services and Pharmaceutical Manufacturing
217,Junior Data Scientist,https://www.linkedin.com/jobs/view/junior-data-scientist-at-synergisticit-3395563631?refId=xI3humF4hSDruNwiQZ0g4w%3D%3D&trackingId=d%2BrKy0a1Ra1iNecmSMv7Fw%3D%3D&position=19&pageNum=8&trk=public_jobs_jserp-result_search-card,"Lexington, MA",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
218,"Department of Informatics and Analytics, Data Science & AI Internship",https://www.linkedin.com/jobs/view/department-of-informatics-and-analytics-data-science-ai-internship-at-dana-farber-cancer-institute-3379226896?refId=xI3humF4hSDruNwiQZ0g4w%3D%3D&trackingId=5e4TucGjEr8%2FGjs1N8NSbw%3D%3D&position=20&pageNum=8&trk=public_jobs_jserp-result_search-card,"Boston, MA",Not Applicable,Internship,Other,"Technology, Information and Internet"
219,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-ntent-3401511622?refId=xI3humF4hSDruNwiQZ0g4w%3D%3D&trackingId=CmIbHZeFEcn8jK%2FapuEHZg%3D%3D&position=21&pageNum=8&trk=public_jobs_jserp-result_search-card,"Carlsbad, CA",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
220,GUCCI Junior Analyst - Client Insights,https://www.linkedin.com/jobs/view/gucci-junior-analyst-client-insights-at-gucci-3383774977?refId=xI3humF4hSDruNwiQZ0g4w%3D%3D&trackingId=MkUWoGGLMQEX2G5aLiAgHQ%3D%3D&position=22&pageNum=8&trk=public_jobs_jserp-result_search-card,"New York, NY",Not Applicable,Full-time,"Research, Analyst, and Information Technology",Retail Luxury Goods and Jewelry
221,"Data Scientist, Decision Analytics",https://www.linkedin.com/jobs/view/data-scientist-decision-analytics-at-the-home-depot-3405567625?refId=xI3humF4hSDruNwiQZ0g4w%3D%3D&trackingId=yrT7lsapOtbV6NZ3X462rA%3D%3D&position=23&pageNum=8&trk=public_jobs_jserp-result_search-card,"Atlanta, GA",Entry level,Full-time,Engineering and Information Technology,Retail
222,Data Scientist I,https://www.linkedin.com/jobs/view/data-scientist-i-at-the-trade-desk-3390240361?refId=xI3humF4hSDruNwiQZ0g4w%3D%3D&trackingId=UOeN%2FPjTPzMXVLTZm8W6Rg%3D%3D&position=24&pageNum=8&trk=public_jobs_jserp-result_search-card,"San Jose, CA",Mid-Senior level,Full-time,Engineering and Information Technology,"IT Services and IT Consulting, Advertising Services, and Technology, Information and Internet"
223,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-optech-3383780416?refId=xI3humF4hSDruNwiQZ0g4w%3D%3D&trackingId=tnjP%2FOmxqnZ0%2Fs9KE6B2xQ%3D%3D&position=25&pageNum=8&trk=public_jobs_jserp-result_search-card,"Columbus, OH",Mid-Senior level,Full-time,"Engineering, Information Technology, and Analyst","IT Services and IT Consulting, Information Services, and Banking"
224,Machine Learning,https://www.linkedin.com/jobs/view/machine-learning-at-mpowering-people-3386971550?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=B3G2tOHNkZmlsyX5WETh6A%3D%3D&position=1&pageNum=9&trk=public_jobs_jserp-result_search-card,"Massachusetts, United States",Associate,Full-time,Engineering,Motor Vehicle Manufacturing
225,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-nbme-3401513750?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=mpxDy8hz2luYO7xT534XTw%3D%3D&position=2&pageNum=9&trk=public_jobs_jserp-result_search-card,"Philadelphia, PA",Entry level,Full-time,Engineering and Information Technology,Education Administration Programs
226,Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-blue-rose-consulting-group-inc-3391700960?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=i292uo7ZI2G6QfeyGvPQPA%3D%3D&position=3&pageNum=9&trk=public_jobs_jserp-result_search-card,United States,Mid-Senior level,Full-time,Information Technology,Internet Publishing
227,Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-oz-3396150084?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=LeVO%2BtUyxeOi13UVkZJXJw%3D%3D&position=4&pageNum=9&trk=public_jobs_jserp-result_search-card,"Fort Lauderdale, FL",NA,Full-time,NA,NA
228,"Associate Data Scientist, Analytics",https://www.linkedin.com/jobs/view/associate-data-scientist-analytics-at-comscore-inc-3394925744?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=6SYLGJLymVji%2BOa%2FAOud0A%3D%3D&position=5&pageNum=9&trk=public_jobs_jserp-result_search-card,"Reston, VA",Not Applicable,Full-time,Engineering and Information Technology,"IT Services and IT Consulting, Market Research, and Technology, Information and Internet"
229,Cloud Machine Learning Engineer - US remote,https://www.linkedin.com/jobs/view/cloud-machine-learning-engineer-us-remote-at-hugging-face-3392479321?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=CW4zNSNFTIIoN5uGIa6f1g%3D%3D&position=6&pageNum=9&trk=public_jobs_jserp-result_search-card,United States,Entry level,Full-time,Engineering and Information Technology,Software Development
230,Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-yes%21-communities-3398072455?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=q%2Fl4OtkxQKglhkhfoKurcw%3D%3D&position=7&pageNum=9&trk=public_jobs_jserp-result_search-card,Denver Metropolitan Area,Mid-Senior level,Full-time,General Business and Analyst,Real Estate
231,Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-sand-cherry-3398226602?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=g%2BoZYpfb9bw%2FwReUZgxqwQ%3D%3D&position=8&pageNum=9&trk=public_jobs_jserp-result_search-card,"Denver, CO",Director,Contract,Analyst,Business Consulting and Services
232,Artificial Intelligence Intern -Summer 2023,https://www.linkedin.com/jobs/view/artificial-intelligence-intern-summer-2023-at-walgreens-3400830977?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=68eH2q3DaLq79P8szLHkjw%3D%3D&position=9&pageNum=9&trk=public_jobs_jserp-result_search-card,"Deerfield, IL",Not Applicable,Full-time,Engineering and Information Technology,"Retail, Wellness and Fitness Services, and Pharmaceutical Manufacturing"
233,Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-kipp-metro-atlanta-schools-3389542656?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=m8wM14yfU89kePdy9nArvw%3D%3D&position=10&pageNum=9&trk=public_jobs_jserp-result_search-card,"Atlanta, GA",Not Applicable,Full-time,Information Technology,Education Administration Programs
234,Acoustic Data Scientist,https://www.linkedin.com/jobs/view/acoustic-data-scientist-at-liminal-3390399523?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=WDy8CLqK%2F59b%2FEdZosxGSA%3D%3D&position=11&pageNum=9&trk=public_jobs_jserp-result_search-card,"Emeryville, CA",Not Applicable,Full-time,Engineering,"Technology, Information and Internet"
235,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-epitec-3393683373?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=Ep18%2BhR2nTNDIod1CBWvow%3D%3D&position=12&pageNum=9&trk=public_jobs_jserp-result_search-card,"Dearborn, MI",Associate,Contract,Information Technology,IT Services and IT Consulting
236,Data Scientist I,https://www.linkedin.com/jobs/view/data-scientist-i-at-medical-solutions-3400984054?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=vVORgS1lPbKMaQ5NKM%2ByPQ%3D%3D&position=13&pageNum=9&trk=public_jobs_jserp-result_search-card,United States,Associate,Full-time,Information Technology,Staffing and Recruiting
237,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-anchor-point-technology-resources-3400617659?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=lgYBjrK7OO1y8IuqtVvBhQ%3D%3D&position=14&pageNum=9&trk=public_jobs_jserp-result_search-card,"Columbus, OH",Associate,Full-time,"Analyst, Information Technology, and Science",IT Services and IT Consulting and Banking
238,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-lunchclub-3398110601?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=TzHK8phqUIovRB8fNbvMSQ%3D%3D&position=15&pageNum=9&trk=public_jobs_jserp-result_search-card,"Miami, FL",Entry level,Full-time,Engineering and Information Technology,Social Networking Platforms
239,Data Scientist / Analytics Engineer,https://www.linkedin.com/jobs/view/data-scientist-analytics-engineer-at-alston-bird-3393498928?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=cJsZXyZD0AS4KBfvAtUbKg%3D%3D&position=16&pageNum=9&trk=public_jobs_jserp-result_search-card,"New York, United States",Entry level,Full-time,Engineering and Information Technology,Law Practice
240,Health Data Analyst,https://www.linkedin.com/jobs/view/health-data-analyst-at-wellstone-3394466119?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=x%2BzrdxRldSDB8tuAbw4O4Q%3D%3D&position=17&pageNum=9&trk=public_jobs_jserp-result_search-card,"Huntsville, AL",Mid-Senior level,Full-time,Information Technology,Mental Health Care
241,Internship: Machine Learning for Electric Design Automation,https://www.linkedin.com/jobs/view/internship-machine-learning-for-electric-design-automation-at-mitsubishi-electric-research-laboratories-3383349373?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=TdAaPYfp%2F%2FAOLE13u1N%2BVQ%3D%3D&position=18&pageNum=9&trk=public_jobs_jserp-result_search-card,"Cambridge, MA",Not Applicable,Internship,Research,"Technology, Information and Internet"
242,Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-somerset-global-solutions-3393140933?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=mT38QGOndX6FVkDl883oUw%3D%3D&position=19&pageNum=9&trk=public_jobs_jserp-result_search-card,"Parsippany, NJ",Not Applicable,Full-time,Management,Staffing and Recruiting
243,Data Scientist (Remote),https://www.linkedin.com/jobs/view/data-scientist-remote-at-icon-health-3384775601?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=IicT61tcjFBYRXFW2gxrMQ%3D%3D&position=20&pageNum=9&trk=public_jobs_jserp-result_search-card,"Stamford, CT",Entry level,Full-time,Other,Wellness and Fitness Services
244,AI/ML Engineer,https://www.linkedin.com/jobs/view/ai-ml-engineer-at-diverse-lynx-3405523911?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=i%2FtrKWPHcO1Z5eburvUmIA%3D%3D&position=21&pageNum=9&trk=public_jobs_jserp-result_search-card,"Boston, MA",Entry level,Contract,Engineering and Information Technology,Software Development
245,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-maven-3393440523?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=k%2FulAZfuL3yt4BMnGoKkOw%3D%3D&position=23&pageNum=9&trk=public_jobs_jserp-result_search-card,Greater Chicago Area,Mid-Senior level,Full-time,"Engineering, Information Technology, and Research","Software Development, Technology, Information and Internet, and Financial Services"
246,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-brooksource-3383778837?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=DTy4fUd6cJ4%2BmzTJk2b45g%3D%3D&position=24&pageNum=9&trk=public_jobs_jserp-result_search-card,United States,Associate,Full-time,Information Technology and Project Management,"IT Services and IT Consulting, Information Services, and Retail"
247,Data Analyst-Entry level.,https://www.linkedin.com/jobs/view/data-analyst-entry-level-at-flexon-technologies-inc-3387396862?refId=P%2BMwxZ4Nwll9BSQ1nvZXcA%3D%3D&trackingId=2UYaHf%2B1O8em%2FJsNr%2FZN7A%3D%3D&position=25&pageNum=9&trk=public_jobs_jserp-result_search-card,"Pleasanton, CA",Entry level,Full-time,Information Technology,IT Services and IT Consulting
248,Entry Level Data Scientist,https://www.linkedin.com/jobs/view/entry-level-data-scientist-at-synergisticit-3395561825?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=g46KX9tVEKBzfwzvVZFBWA%3D%3D&position=1&pageNum=10&trk=public_jobs_jserp-result_search-card,"Spokane, WA",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
249,Data Science Analyst I - Genetics,https://www.linkedin.com/jobs/view/data-science-analyst-i-genetics-at-mount-sinai-health-system-3393436056?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=jniK6wzfdof7Osx7IW0W3g%3D%3D&position=2&pageNum=10&trk=public_jobs_jserp-result_search-card,"New York, NY",Mid-Senior level,Full-time,Information Technology,Hospitals and Health Care
250,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-idexcel-3383742359?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=Zkx%2FC1%2BzXD9OD92iQaiucA%3D%3D&position=3&pageNum=10&trk=public_jobs_jserp-result_search-card,"Herndon, VA",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
251,Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-kipp-texas-public-schools-3390552918?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=zZ1bl%2Bt6BbS7lt503qQQlQ%3D%3D&position=4&pageNum=10&trk=public_jobs_jserp-result_search-card,"Houston, TX",Not Applicable,Full-time,Information Technology,Primary and Secondary Education
252,Internship: Deep Learning for Radar Perception,https://www.linkedin.com/jobs/view/internship-deep-learning-for-radar-perception-at-mitsubishi-electric-research-laboratories-3391894484?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=fE0s5k52RjEEPCXcq4SdMw%3D%3D&position=5&pageNum=10&trk=public_jobs_jserp-result_search-card,"Cambridge, MA",Not Applicable,Internship,Research,"Technology, Information and Internet"
253,Summer 2023 - Data Science Intern,https://www.linkedin.com/jobs/view/summer-2023-data-science-intern-at-shamrock-foods-company-3389680375?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=dqvGg8847cITkrR4hu0J6g%3D%3D&position=6&pageNum=10&trk=public_jobs_jserp-result_search-card,"Phoenix, AZ",Internship,Internship,Engineering and Information Technology,Food and Beverage Services
254,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-roots-automation-3383236320?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=Ck1VX48sAXj%2B2WUP7PG0jA%3D%3D&position=7&pageNum=10&trk=public_jobs_jserp-result_search-card,New York City Metropolitan Area,NA,NA,NA,NA
255,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-mission-recruit-3393457593?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=TOPu4EL61m3NgXgUyHLYdg%3D%3D&position=8&pageNum=10&trk=public_jobs_jserp-result_search-card,"Atlanta, GA",Director,Full-time,"Science, Accounting/Auditing, and Research",Banking and Accounting
256,Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-march-networks-3393498572?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=o2eChHpLm99BqKK%2FSVxciw%3D%3D&position=9&pageNum=10&trk=public_jobs_jserp-result_search-card,"Raleigh, NC",NA,NA,NA,NA
257,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-shipwell-3387666802?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=9BAV%2Bkv2o6AwC%2FR61o5bcQ%3D%3D&position=10&pageNum=10&trk=public_jobs_jserp-result_search-card,"Austin, TX",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
258,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-peakmetrics-3392849560?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=VHNxdGMl6XlKnBCKpRAfog%3D%3D&position=11&pageNum=10&trk=public_jobs_jserp-result_search-card,"Los Angeles, CA",NA,NA,NA,NA
259,Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-kipp-texas-public-schools-3389545352?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=0gcmNzbtDKwDWirHzgllbw%3D%3D&position=12&pageNum=10&trk=public_jobs_jserp-result_search-card,"Dallas, TX",Not Applicable,Full-time,Information Technology,Primary and Secondary Education
260,Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-paladin-consulting-3393640176?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=8qMZ1E%2BTMUa%2F2cyvtX9qgw%3D%3D&position=13&pageNum=10&trk=public_jobs_jserp-result_search-card,"Washington, DC",NA,NA,NA,NA
261,Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-costrategix-3394405939?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=YZpbWZzRxlBYUaUs5bG8FA%3D%3D&position=14&pageNum=10&trk=public_jobs_jserp-result_search-card,"Blue Ash, OH",Mid-Senior level,Full-time,Information Technology,Software Development
262,Research Scientist,https://www.linkedin.com/jobs/view/research-scientist-at-sensory-inc-3393636433?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=hVf5ewuc0XFUolzgMM9Zzg%3D%3D&position=15&pageNum=10&trk=public_jobs_jserp-result_search-card,"Boulder County, CO",NA,NA,NA,NA
263,Intern - Data Scientist,https://www.linkedin.com/jobs/view/intern-data-scientist-at-valley-bank-3385606603?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=8Z7LE84oZgAJTwLUCOrs3Q%3D%3D&position=16&pageNum=10&trk=public_jobs_jserp-result_search-card,"Wayne, NJ",Internship,Part-time,Engineering and Information Technology,Banking
264,"Bioinformatics Scientist, Cancer Genomics",https://www.linkedin.com/jobs/view/bioinformatics-scientist-cancer-genomics-at-new-york-genome-center-3393398147?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=qkzMQsnsOxqYQID7Y9pRlA%3D%3D&position=17&pageNum=10&trk=public_jobs_jserp-result_search-card,"New York, NY",Not Applicable,Full-time,Research and Science,Biotechnology Research
265,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-diverse-lynx-3405523963?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=hEyHSN%2BWecbUlWRWJOsZWA%3D%3D&position=18&pageNum=10&trk=public_jobs_jserp-result_search-card,"Santa Clara, CA",Entry level,Contract,Engineering and Information Technology,Software Development
266,Associate Data Science Analyst - AI&I (Limited Tenure),https://www.linkedin.com/jobs/view/associate-data-science-analyst-ai-i-limited-tenure-at-mayo-clinic-3396163941?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=VvRi%2BcvMPycl0ojKxu8g7w%3D%3D&position=19&pageNum=10&trk=public_jobs_jserp-result_search-card,"Rochester, MN",Mid-Senior level,Full-time,Information Technology,Hospitals and Health Care
267,Junior Machine Learning Engineer,https://www.linkedin.com/jobs/view/junior-machine-learning-engineer-at-synergisticit-3395562766?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=NF5TMlgh2bOg6JfCg4s7dQ%3D%3D&position=20&pageNum=10&trk=public_jobs_jserp-result_search-card,"Dallas, TX",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
268,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-fetch-3383566358?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=Zzh2BKNxZnFxM7PwINGScQ%3D%3D&position=21&pageNum=10&trk=public_jobs_jserp-result_search-card,"Chicago, IL",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
269,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-eqhq-3405535589?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=i5ml2uqfkFE%2BOpvJjF09tA%3D%3D&position=22&pageNum=10&trk=public_jobs_jserp-result_search-card,"Bethesda, MD",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
270,Machine Learning Intern,https://www.linkedin.com/jobs/view/machine-learning-intern-at-asml-3391872034?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=Yzx8ymEZazTPJHEyjkAlfw%3D%3D&position=23&pageNum=10&trk=public_jobs_jserp-result_search-card,"San Jose, CA",Internship,Internship,Engineering and Information Technology,"Nanotechnology Research, Semiconductor Manufacturing, and Industrial Machinery Manufacturing"
271,Junior Data Scientist,https://www.linkedin.com/jobs/view/junior-data-scientist-at-noblis-3389923482?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=ZFWFTZrIX8FhVU9mlg0sfg%3D%3D&position=24&pageNum=10&trk=public_jobs_jserp-result_search-card,"Reston, VA",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
272,2023 UberSTAR Internship Program - Data Science,https://www.linkedin.com/jobs/view/2023-uberstar-internship-program-data-science-at-uber-3379617900?refId=swgnSA3e%2FYnNO2tcyQ5OUw%3D%3D&trackingId=niIs%2BP9FyfZ8CT3ICXFA7g%3D%3D&position=25&pageNum=10&trk=public_jobs_jserp-result_search-card,"San Francisco, CA",Not Applicable,Full-time,Engineering and Information Technology,"IT Services and IT Consulting, Software Development, and Consumer Services"
273,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-eqhq-3405535589?refId=BDWJxErXCBRse4UVDv7u%2FQ%3D%3D&trackingId=mknNfnLrpMp0mPXMOJB4tg%3D%3D&position=1&pageNum=11&trk=public_jobs_jserp-result_search-card,"Bethesda, MD",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
